id,name,alternate_roles,keywords
93,Construction Management,"Construction Project Manager, Site Manager, Site Engineer, Project Engineer (Construction), Civil Engineer (Site), Field Engineer, Construction Supervisor, Site Supervisor, Project Coordinator (Construction), Construction Planner, Planning Engineer, Scheduling Engineer, Quantity Surveyor, Estimation Engineer, Cost Engineer, Contracts Engineer, Project Controls Engineer, Construction Operations Manager, Site Operations Manager, Infrastructure Project Manager, Civil Project Manager, Structural Engineer (Site), Execution Engineer, Billing Engineer (Construction), Procurement Engineer (Construction), Construction Quality Engineer, QA/QC Engineer (Construction), Safety Officer (Construction), EHS Engineer (Construction), Construction Coordinator","Construction Management, Project Management (Construction), Site Management, Civil Engineering, Infrastructure Projects, Building Construction, Commercial Construction, Residential Construction, Industrial Construction, Site Execution, Project Planning, Scheduling, Primavera P6, MS Project, Construction Scheduling, Project Coordination, Quantity Surveying, BOQ (Bill of Quantities), Estimation, Cost Estimation, Cost Control, Budgeting, Tendering, Contract Management, Procurement, Vendor Management, Material Management, Billing, RA Bills, Measurement Book (MB), Site Supervision, Construction Supervision, Quality Control, QA/QC, Site Inspection, Safety Management, EHS, Construction Safety, Risk Management, Resource Planning, Workforce Management, Project Monitoring, Progress Tracking, Construction Documentation, Drawings, AutoCAD, Structural Drawings, Civil Drawings"
94,Credit controller,"Credit Controller, Accounts, Finance","Credit controller, Accounts Assistant, Accounts receivable, Finance Assistant, Credit, Accounts, Finance"
95,CRM Sales,"Technical Sales, IT Sales, Sales","CRM, Pre-Sales, Salesforce Consultant, Technical Account, Account Executive, Product Consultant, Sales Engineer, Sales Technologist, IT Sales, IT Solutions Technology Sales, Customer Success, Sales Account, Salesforce Customer Relationship, Technical Sales, Sales Engineer, Solutions Consultant, Solutions Engineer, Presales, Solution Sales, Product Sales, Sales, Software Sales, SaaS Sales, Salesforce"
96,CRM Specialist,"Technical Sales, IT Sales","CRM, Salesforce Consultant, Technical Account, Account Executive, Product Consultant, Sales Engineer, Sales Technologist, IT Sales, IT Solutions Technology Sales, Customer Success, Sales Account, Salesforce Customer Relationship, Technical Sales, Sales Engineer, Solutions Consultant, Solutions Engineer, Solution Sales, Product Sales, Software Sales, SaaS Sales, Salesforce"
97,Cyber security,"Cybersecurity, Cloud Security, Cloud Engineer","Cyber Threat, Cybersecurity, Information Security, Security Architect, Security Operations Center, SOC, InfoSec, Security Analyst, Security Operations, GRC, IT Security, Incident Response, Network Security, Identity and Access Management, IAM, Cyber, SOC, Cyber Threat, Cloud Engineer, Cloud Ops, Security, NOC, SOAR, Red Team"
99,Data Analyst,"Power BI, Tableau, Data Visualisation, Reporting, Data Analytics","Data Analyst, Data Platform Engineer, Reporting Analyst, Operations Analyst, Operations Specialist, Product Analyst, Product Specialist, Reporting, Analytics Visualization, Power BI, Business Intelligence, Data Specialist, Tableau, Visualization, Dashboard, Data Visualization, Analytics Consultant, Power BI/Tableau Developer, Business analyst"
100,Data Analyst Internships,"Data Analyst, Power BI, Tableau, Data Visualisation, Reporting, Data Analytics, Machine Learning, Generative AI, Machine Learning Engineer, Database Engineer, SQL Developer, ETL Developer, Business Intelligence Engineer","Data Analyst, Data Platform Engineer, Reporting Analyst, Operations Analyst, Operations Specialist, Product Analyst, Product Specialist, Reporting, Analytics Visualization, Power BI, Business Intelligence, Data Specialist, Tableau, Visualization, Dashboard, Data Visualization, Analytics Consultant, Power BI/Tableau Developer, Business analyst, Data Engineer, Data Pipeline Engineer, Data Platform Engineer, ETL, Big Data, Analytics Engineer, Analytics Technologist, Cloud Data Technologist, DataOps, Database Engineer, SQL, database, Business Intelligence, Data Scientist, Data Science, Machine Learning, ML, Artificial Intelligence, AI, Data Platform Engineer, Data Mining Specialist, Data Specialist, Generative AI, Agentic AI"
101,Database Administration,"Database Engineer, SQL Developer, ETL Developer","ETL, Big Data, Analytics Engineer, Analytics Technologist, Cloud Data Technologist, DataOps, Database Engineer, SQL, database,"
102,Data Engineer,"database admin post, post base sql, my sql,EnterpriseDB, Database Engineer, SQL Developer, ETL Developer, Business Intelligence Engineer","Data Engineer, Data Pipeline Engineer, Data Platform Engineer, ETL, Big Data, Analytics Engineer, Analytics Technologist, Cloud Data Technologist, DataOps, Database Engineer, SQL, database, Business Intelligence"
105,Data Scientist,"Machine Learning, Generative AI, Machine Learning Engineer","Data Scientist, Data Science, Machine Learning, ML, Artificial Intelligence, AI, Data Platform Engineer, Data Mining Specialist, Data Specialist, Generative AI, Agentic AI"
108,DevOps,Cloud Engineer,"DevOps Engineer, DevOps Architect, DevOps Consultant, DevOps Specialist, DevOps Automation Engineer, DevOps Infrastructure Engineer, DevOps, DevSecOps, DevOps Security, DevOps & Security Automation, Cloud Security & DevOps, Cloud DevOps, AWS DevOps, Azure DevOps, GCP DevOps, Kubernetes DevOps Engineer, Platform Engineer, Site Reliability Engineer, SRE, SRE/DevOps, SRE Architect, Infrastructure Engineer, Infrastructure Reliability, DevOps & Release, CI/CD, Infrastructure Automation, Cloud Automation, Infrastructure as Code (IaC), Systems Engineer DevOps. Build and Release, Cloud Engineer, Cloud Operations, Platform Support Engineer, Automation Engineer, Systems Engineer, Site Reliabilty, Cloud, AWS Devops, Build and Release Engineer, CI/CD, Cloud Operations, Platform Support, Infrastructure, Automation Engineer, Systems"
112,Electrical Engineer,"Controls Engineer, QA automation testing, Automotive test engineer, integration testing, Hill testing","Electrical Project Engineer, Project Electrical Engineer, Electrical Design, Field Engineer Electrical, Field Technologist Electrical, Site Engineer Electrical, Site Technologist Electrical, Electrical Controls, Electrical Engineer, Mechatronics Engineer, Power Systems Engineer, Automation Engineer, Automation Technologist, Power Distribution Engineer, Controls Engineer, Automation Engineer, Electrical, project, Product, Program"
113,Electrical Project,Electrical Engineer,"Electrical Project Engineer, Project Electrical Engineer, Electrical Design, Field Engineer Electrical, Field Technologist Electrical, Site Engineer Electrical, Site Technologist Electrical,Electrical Controls, Electrical Engineer, Mechatronics Engineer, Power Systems Engineer, Automation Engineer, Automation Technologist, Power Distribution Engineer, Controls Engineer, Automation Engineer, Electrical, project, Product, Program"
114,Electronic Health Records (EHR),"Claims Analyst (Healthcare), Medical Coding, Health Informatics","Certified Professional Coder, CPC, Clinical Coder, Health Information Coder, Medical Coder, Medical Coding Specialist, Health Information Technician, Medical Biller, Revenue Cycle Specialist, EHR, Electronic Health Records, Health Information Coder, Clinical Systems, Medical Records, Clinical Claims, Healthcare Claims, Medical Claims, Payer Claims, Insurance Claims, coding, billing, records, specialist, health informat, coder, EHR, scribe, Insurance, Reimbursement, coding, billing, records, specialist, coder, scribe, Insurance"
116,Embedded Software Engineer,"Network Engineer, Firmware Engineer","Embedded Developer, Embedded Software Engineer, Embedded Systems Engineer, Firmware Engineer, Real-time Systems Engineer, Programmer Analyst, Software Programmer, Electronics Engineer, Electronics Technologist, Hardware Engineer, Hardware Technologist, Systems Engineer, Systems Technologist, Embedded,firmware, C, C++, Infrastructure Solutions Engineer, Network, IT Support, Infrastructure, Systems, Support"
117,Environmental Health and Safety (EHS),"Safety Analyst, HSE (Health, Safety, Environment), Health and Safety,Safety Management System, Environment, Health, Safety and Quality (EHSQ)","EHS, Environmental, Safety, EH&S, ESHQ, HES, Safety, EMS, HSE, OHS, OSHA 29 CFR 1910/1926, ISO 45001, ISO 14001, NEBOSH, IOSH, Risk Assessment, Job Hazard Analysis, JHA, Root Cause Analysis, RCA, Safety Audit, Workplace Safety, Environmental Compliance, Industrial Safety, Emergency Preparedness, Hazard Identification, HIRA, CAPA, Corrective and Preventive Actions, Fire Safety, Incident, Investigation"
118,ERP,SAP,"ERP, SAP, Supply Chain, Procurement"
119,Financial analyst,"FP&A analyst, Financial controller, Fraud Analyst, Financial Crime, Fincrime, Risk Analyst, compliance analyst, sanctions, SAR, OFAC","Anti-Fraud, Transaction Monitoring, Compliance Analyst, Compliance Specialist, KYC, Risk Analyst, Risk Specialist, Client Due Diligence, Client Onboarding, Know Your Customer, CDD, Onboarding, BSA, Bank Secrecy Act, Fraud Analyst, Fraud Detection, Fraud Investigator, Fraud Risk Analyst, Financial Crime, ABAC, Anit Bribery and Anti Corruption, Anti-Bribery & Corruption, Financial Crime, Fraud Risk, Credit Risk, Market Risk, Operational Risk, Risk Analyst, Compliance Risk Analyst, Compliance Risk Specialist, Audit Analyst, Audit Specialist, FP&A Analyst, Finance Analyst, Investment Analyst, Treasury Analyst, SAR, Fraud Analyst, Financial Crime, Sanctions, Compliance, Risk Analyst, Risk Management, SAR, OFAC, Sanctions, Risk Analyst, Risk Management"
122,Full Stack,Software Engineer,"Full Stack, LAMP Stack, MEAN Stack, MERN Stack, Software Engineer, End-to-End Developer, Application Developer, Cross-platform, Frontend, Backend, Web Developer, Front End, Back End, Front-End, Back-End, Fullstack, Application, Software Architect, Software Development Engineer, SDE, Software Engineer, Software Programmer, Developer, Platform Engineer, Platform Technologist, Tech Consultant, Technology Consultant, software, developer, web, developer"
123,Generative AI,"Gen AI, LLM Engineer, Data Scientist, Agentic AI, Machine Learning","Generative AI Engineer, Generative AI Developer, GenAI Engineer, GenAI Developer, Prompt Engineer, Prompt Developer, LLM Engineer, LLM Developer, Large Language Model Engineer, Foundation Model Engineer, Multimodal AI Engineer, AI Content Generation Engineer, Text Generation Engineer, Conversational AI Engineer, AI Research Engineer, AI Scientist, Applied AI Scientist, Transformer Model Engineer, Synthetic Media Engineer, Data Scientist, Data Science, Machine Learning, ML, Artificial Intelligence, AI, Data Platform Engineer, Data Mining Specialist, Data Specialist, Generative AI, Agentic AI, Machine Learning, ML, AI/ML"
124,Healthcare Data Analyst,"Clinical Data Analyst, Medical Data Analyst, Population Health Analyst, Health Informatics, Healthcare Analyst, EHR Data Analyst, EPIC Analyst","Healthcare Data Analyst, Health Data, Clinical Data, EHR, EMR, Epic Clarity, Epic Reporting, Cerner, Tableau, Power BI, SQL, Python, R, SAS, Data Visualization, Healthcare Analytics, Healthcare BI, Health Informatics, Population Health, Clinical Outcomes, Claims Data, Payer Analytics, Provider Data, Healthcare Reporting, Quality Measures, CMS, HEDIS, HIPAA Compliance, Healthcare Dashboards, Health Data Management, Medical Data Analysis, Risk Adjustment, Patient Outcomes, Data Warehousing, Public Health Analytics, Healthcare Quality Analyst, Data Governance, HL7, FHIR, ICD-10, CPT Codes, Health Insurance Analytics, Utilization Management"
127,HR Recruiter,"HR, HR Coordinator, Payroll Analyst, Benefits Analyst, HRIS ","Coordinator, Recruiter, Recruitment, Consultant, Talent Acquisition, Technical Recruiter, Acquisition, Staffing, Hiring Coordinator, Specialist, Sourcing, Human Resources, Recruitment Focus, Employment Specialist, Employment"
128,Java Developer,"Full Stack, Software Engineer","Java, J2EE, Spring Developer,developer,frontend,backend,web, fullstack,front-end,back-end,full-stack, front end, back end, full stack, Software Architect, Software Development Engineer, SDE, Software Engineer, Software Programmer, Developer, Platform Engineer, Platform Technologist, Tech Consultant, Technology Consultant, software, developer, web, developer"
129,Java Full Stack,"Java Developer, Software Engineer","Java, J2EE, Spring Developer,developer,frontend,backend,web, fullstack,front-end,back-end,full-stack, front end, back end, full stack, Software Architect, Software Development Engineer, SDE, Software Engineer, Software Programmer, Developer, Platform Engineer, Platform Technologist, Tech Consultant, Technology Consultant, software, developer, web, developer"
130,Manufacturing engineer (Mechanical),"Manufacturing engineer, Mechanical Engineer, MES Engineer, Manufacturing Execution Systems, Quality engineer, Industrial engineer, Lean specialist, Continuous improvement engineer","Mechanical Engineer, Product Development Engineer, HVAC, Manufacturing, Project Engineer, Project Technologist, Maintenance, Manufacturing, Quality, Industrial, Lean specialist, Continuous improvement, Mechanical, MES, Manufacturing execution systems, execution, Reliability, Process engineer, materials, Automation, Production Specialist"
132,Mechanical Engineer,"Design Engineer, Manufacturing Engineer, Quality engineer, Industrial engineer, Lean specialist, Continuous improvement engineer	","Design Engineer, Mechanical Engineer, Product Development Engineer, HVAC, Manufacturing, Project Engineer, Project Technologist, Maintenance, Manufacturing, Quality, Industrial, Lean specialist, Continuous improvement, Mechanical, Design"
133,Medical Coding,"Electronic Health Records (EHR), Clinical Coder, health informatics","Certified Professional Coder, CPC, Clinical Coder, Health Information Coder, Medical Coder, Medical Coding Specialist, Health Information Technician, Medical Biller, Revenue Cycle Specialist, EHR, Electronic Health Records, Health Information Coder, Clinical Systems, Medical Records, Clinical Claims, Healthcare Claims, Medical Claims, Payer Claims, Insurance Claims, coding, billing, records, specialist, health informat, coder, EHR, scribe, Insurance, Reimbursement, coding, billing, records, specialist, coder, scribe, Insurance"
134,.Net,Full Stack,".NET, Microsoft Stack Developer, Full Stack,Dot, Net, Dotnet, software,developer,frontend,backend, fullstack,front-end,back-end,developer, Full Stack, LAMP Stack, MEAN Stack, MERN Stack, Software Engineer, End-to-End Developer, Application Developer, Cross-platform, Frontend, Backend, Web Developer, Front End, Back End, Front-End, Back-End, Fullstack"
135,Network Engineer,"Intune, SCCM, Embedded software engineer, firmware engineer, system engineer, support engineer","Intune, SCCM, Endpoint, MECM, Infrastructure Solutions Engineer, Network, IT Support, Infrastructure, Systems, Support, Embedded Developer, Embedded Software Engineer, Embedded Systems Engineer, Embedded, Firmware Engineer, Real-time Systems Engineer, Programmer Analyst, Software Programmer, Electronics Engineer, Electronics Technologist, Hardware Engineer, Hardware Technologist, Systems Engineer, Systems Technologist, Embedded, firmware, C, C++"
136,Payroll Analyst,"Benefits analyst, Workday Analyst, HRIS","Compensation & Benefits, Compensation, Benefits, Payroll Administrator, Payroll Analyst, Payroll Specialist, Payroll, Compensation Analyst, Compensation Specialist, Finance Operations, HR Operations, Workday Analyst, Workday Functional Analyst, Workday HCM Analyst, Workday, ERP Analyst, ERP Specialist, ERP, HR Analyst, HR Specialist, HRIS Analyst, HRIS Specialist, HRIS"
137,Pharmacovigilance,"Drug Safety, Regulatory Affairs, Clinical Research Coordinator, Clinical Trials Coordinator, Clinical Study Coordinator, Clinical Site Coordinator, Clinical Trial Site Coordinator, Clinical Trials, Clinical Research","Pharmacovigilance, Drug Safety, Regulatory Affairs, Clinical Research Coordinator, Clinical Research Assistant, Clinical Research Associate, Clinical Trials Coordinator, Clinical Trials Assistant, Clinical Trials Associate, Clinical Study Coordinator, Research Study Coordinator, Study Coordinator, Clinical Coordinator, Clinical Site Coordinator, Clinical Trial Support Specialist, Clinical Project Coordinator, Research Coordinator , Swat Coordinator, CRA, CRC, CTA, RSC, SC, Aide"
138,Product Manager,"Product Owner, Product Analyst, Strategy associate, Project Management, Project Engineer","Product manager, product owner, product analyst, strategy associate, Project Manager, Technical Delivery Manager, Delivery Coordinator, Delivery Lead, Delivery Manager, Program Lead, Program Manager, Project Coordinator, Scrum Master, PMO, Project Management, Project Support, Project Lead, Project Assistant, Project Delivery Engineer, Project Engineer, Technical Project Engineer,Project, Product, Program"
139,Project Manager,"Product Manager, Project Engineer","Project Manager, Technical Delivery Manager, Delivery Coordinator, Delivery Lead, Delivery Manager, Program Coordinator, Program Lead, Program Manager, Project Coordinator, Scrum Master, PMO, Project Management, Project Support, Project Lead, Project Assistant, Project Delivery Engineer, Project Engineer, Technical Project Engineer,Project, Product, Program"
140,Project Management Internship,"Project Management, Program Manager, Project Engineer","Project Manager, Technical Delivery Manager, Delivery Coordinator, Delivery Lead, Delivery Manager, Program Coordinator, Program Lead, Program Manager, Project Coordinator, Scrum Master, PMO, Project Management, Project Support, Project Lead, Project Assistant, Project Delivery Engineer, Project Engineer, Technical Project Engineer, Project, Product manager, product, Program manager"
141,python developer,"Python, aws developer, Python Engineer, Python Programmer, Flask Developer","Python, AWS, Python Developer, Python Engineer, Python Programmer, Python Software Developer, Python Web Developer, Python Backend Developer, Backend Developer (Python), Full Stack Developer (Python), Django Developer, Flask Developer, Python Automation Developer, Python Scripting Developer, Python API Developer, Python Application Developer, Python Consultant, Python Technical Specialist, Software Engineer (Python), ML Engineer (Python), AI Developer (Python), Data Engineer (Python), Python Data Analyst, Scientific Python Developer, Embedded Python Developer, Python Systems Developer, Python Integration Developer, AWS Developer (Python), Cloud Developer (Python), AWS Lambda Developer (Python), Data Analyst, Data Scientist, Machine Learning, ML, Artificial Intelligence, AI"
142,Quality Engineer,"Automation Engineer, Testing Engieer","QA, Quality Assurance, Quality, Test Engineer, Process Engineer, Process Technologist, Product Assurance, Automation, Quality Systems, Controls Engineer, Controls Technologist, SDET, Manual Tester, Testing Analyst, Testing Specialist, DataOps, Testing, Automation Testing, Functional Testing, Regression Testing, Smoke Testing, UAT, POM, Page Object Model, Test Automation Framework, REST API Testing, UI Testing, Firmware Testing, SDET, Automation Engineer, Test Engineer, Software QA, Quality Systems, Controls Engineer, Product Assurance, Assurance"
143,Regulatory Affairs,"Clinical Research, Quality Assurance, Quality Check, Pharmacovigilence","Pharmacovigilance, Quality Assurance, QA, Quality Check, QC, Regulatory Affairs, Regulatory, Clinical, Quality, Regulatory Analyst, Clinical Reseach Coordinator, Regulatory Operations Coordinator, Compliance Officer, Drug, Drug Safety, Regulatory Affairs, Regulatory Policy, Regulatory Intelligence, Healthcare Compliance, Regulatory Labeling, Clinical Compliance"
144,Safety Analyst,"Environmental Health and Safety (EHS), HSE (Health, Safety, Environment), Health and Safety,Safety Management System, Environment, Health, Safety and Quality (EHSQ)","EHS Cordinator, Environmental Safety, EH&S, safety cordinator,HES, EMS,Safety Analyst, EHS Analyst, HSE, OHS, OSHA, ISO 45001, ISO 14001, NEBOSH, IOSH, Risk Assessment, Job Hazard Analysis, JHA, Root Cause Analysis, RCA, Safety Audit Workplace Safety, Environmental Compliance, Industrial Safety, Emergency Preparedness, Hazard Identification, HIRA, CAPA, Corrective and Preventive Actions"
145,Sailpoint,Identity and Access Management (IAM),"Sailpoint, Sail Point"
146,Sales executive,"Sales Executive, CRM, Marketing Executive","Sales, CRM, Account, Marketing"
147,Salesforce Developer,"Salesforce Admin, Salesforce, CRM,Salesforce Technical Lead ,Salesforce Solution Architect,Salesforce Platform Developer II,Salesforce Release/Deployment Specialist,Salesforce QA/Test Engineer ,Salesforce Support Engineer /Admin Support,Salesforce Project Coordinator / Delivery Lead,Salesforce data analyst , salesforce engineer ,Salesforce marketing cloud , Salesforce vlocity , Salesforce CPQ developer,CRM Developer ,CRM Consultant ,CRM Business Analyst ,CRM Solution Architect ,CRM Data Analyst ,CRM Integration Specialist 	,CRM Project Manager ,Customer Success / CRM Operations Manager","Salesforce, CRM, Sales force"
148,SAP,"SAP Basis, SAP MM, SAP HANA, Supply Chain, Order to cash, Procure to Pay, Procurement, Inventory, Operations, Logistics","SAP, SAP MM, SAP Logistics, SAP Procurement, SAP HANA, SAP S/4 HANA, SAP S4 HANA, OTC, Order to Cash, P2P, Procure to Pay, Purchasing Analyst, Purchasing Specialist, Purchasing, Procurement Analyst, Procurement Specialist, Procurement, Strategic Sourcing Analyst, Demand & Supply, Supply Chain Analyst, Supply Chain, Vendor Data, Master Data, Vendor, Inventory Analyst, Inventory Control Specialist, Inventory Management Analyst, Inventory, Stock Control Analyst, Operations Analyst, Operations Specialist, Operations, Continuous Improvement Specialist, Process Analyst, Process Specialist, Logistics Analyst, Logistics Coordinator, Logistics, Transportation Analyst, Freight Analyst, Freight Specialist, Supply Chain Specialist"
